Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/codec/Charsets,true,28,true,true
org/apache/commons/codec/net/PercentCodec,true,223,true,true
org/apache/commons/codec/net/RFC1522Codec,true,37,true,true
org/apache/commons/codec/net/QuotedPrintableCodec,true,259,true,true
org/apache/commons/codec/net/URLCodec,true,211,true,true
org/apache/commons/codec/net/QCodec,true,207,false,false
org/apache/commons/codec/net/BCodec,true,48,true,true
org/apache/commons/codec/net/Utils,true,18,true,true
org/apache/commons/codec/digest/Crypt,true,36,true,true
org/apache/commons/codec/digest/HmacUtils,true,174,true,true
org/apache/commons/codec/digest/HmacAlgorithms,true,8,true,true
org/apache/commons/codec/digest/DigestUtils,true,201,true,true
org/apache/commons/codec/digest/UnixCrypt,true,232,true,true
org/apache/commons/codec/digest/PureJavaCrc32,true,5263,true,true
org/apache/commons/codec/digest/PureJavaCrc32C,true,5404,true,true
org/apache/commons/codec/digest/Sha2Crypt,true,106,true,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,0,true,true
org/apache/commons/codec/digest/Md5Crypt,true,73,true,true
org/apache/commons/codec/digest/XXHash32,true,308,true,true
org/apache/commons/codec/digest/B64,true,12,true,true
org/apache/commons/codec/DecoderException,true,5,true,true
org/apache/commons/codec/binary/BaseNCodec,true,309,false,false
org/apache/commons/codec/binary/StringUtils,true,29,true,true
org/apache/commons/codec/binary/Base32InputStream,true,7,true,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,135,true,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64,true,511,true,true
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,149,true,true
org/apache/commons/codec/binary/Hex,true,110,true,false
org/apache/commons/codec/binary/BinaryCodec,true,182,false,false
org/apache/commons/codec/binary/Base32,true,645,false,false
org/apache/commons/codec/binary/Base64InputStream,true,7,true,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,true,true
org/apache/commons/codec/binary/CharSequenceUtils,true,21,true,true
org/apache/commons/codec/BinaryEncoder,true,1,true,true
org/apache/commons/codec/Encoder,true,1,true,true
org/apache/commons/codec/StringEncoderComparator,true,11,true,true
org/apache/commons/codec/cli/Digest,true,146,true,true
org/apache/commons/codec/StringDecoder,true,1,true,true
org/apache/commons/codec/CharEncoding,true,0,true,true
org/apache/commons/codec/BinaryDecoder,true,1,true,true
org/apache/commons/codec/EncoderException,true,5,true,true
org/apache/commons/codec/language/AbstractCaverphone,true,7,true,true
org/apache/commons/codec/language/Metaphone,true,270,true,true
org/apache/commons/codec/language/bm/Languages,true,311,true,true
org/apache/commons/codec/language/bm/NameType,true,1,true,true
org/apache/commons/codec/language/bm/PhoneticEngine,true,320,true,true
org/apache/commons/codec/language/bm/RuleType,true,1,true,true
org/apache/commons/codec/language/bm/Rule,true,613,false,false
org/apache/commons/codec/language/bm/ResourceConstants,true,5,true,true
org/apache/commons/codec/language/bm/Lang,true,119,true,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,9,true,true
org/apache/commons/codec/language/Caverphone1,true,1,true,true
org/apache/commons/codec/language/DaitchMokotoffSoundex,true,739,false,false
org/apache/commons/codec/language/Caverphone2,true,1,true,true
org/apache/commons/codec/language/RefinedSoundex,true,48,true,true
org/apache/commons/codec/language/Nysiis,true,73,true,true
org/apache/commons/codec/language/DoubleMetaphone,true,3412,false,false
org/apache/commons/codec/language/SoundexUtils,true,23,true,true
org/apache/commons/codec/language/Soundex,true,71,true,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,254,true,true
org/apache/commons/codec/language/ColognePhonetic,true,533,true,true
org/apache/commons/codec/language/Caverphone,true,9,true,true
org/apache/commons/codec/StringEncoder,true,1,true,true
org/apache/commons/codec/Decoder,true,1,true,true
