Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,73,true,false
org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,24,false,false
org/apache/commons/collections4/keyvalue/TiedMapEntry,true,81,false,false
org/apache/commons/collections4/keyvalue/package-info,true,0,true,NA
org/apache/commons/collections4/keyvalue/MultiKey,true,93,false,false
org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,20,false,false
org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,17,false,false
org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,64,false,false
org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,13,false,false
org/apache/commons/collections4/set/TransformedSortedSet,true,61,true,true
org/apache/commons/collections4/set/TransformedSet,true,48,false,false
org/apache/commons/collections4/set/CompositeSet,true,371,false,false
org/apache/commons/collections4/set/AbstractSetDecorator,true,9,false,false
org/apache/commons/collections4/set/PredicatedSet,true,13,false,false
org/apache/commons/collections4/set/package-info,true,0,true,NA
org/apache/commons/collections4/set/MapBackedSet,true,74,true,true
org/apache/commons/collections4/set/PredicatedSortedSet,true,46,false,false
org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,7,false,false
org/apache/commons/collections4/set/UnmodifiableSortedSet,true,55,true,true
org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,36,false,false
org/apache/commons/collections4/set/UnmodifiableSet,true,36,true,true
org/apache/commons/collections4/set/ListOrderedSet,true,270,false,false
org/apache/commons/collections4/ResettableIterator,true,2,false,NA
org/apache/commons/collections4/bag/PredicatedBag,true,30,false,false
org/apache/commons/collections4/bag/AbstractSortedBagDecorator,true,13,false,false
org/apache/commons/collections4/bag/TreeBag,true,45,false,false
org/apache/commons/collections4/bag/SynchronizedSortedBag,true,84,false,false
org/apache/commons/collections4/bag/TransformedSortedBag,true,50,true,true
org/apache/commons/collections4/bag/PredicatedSortedBag,true,17,false,false
org/apache/commons/collections4/bag/package-info,true,0,true,NA
org/apache/commons/collections4/bag/AbstractBagDecorator,true,30,false,false
org/apache/commons/collections4/bag/CollectionSortedBag,true,58,true,true
org/apache/commons/collections4/bag/HashBag,true,5,false,false
org/apache/commons/collections4/bag/TransformedBag,true,55,false,false
org/apache/commons/collections4/bag/UnmodifiableBag,true,53,true,true
org/apache/commons/collections4/bag/AbstractMapBag,true,249,false,false
org/apache/commons/collections4/bag/CollectionBag,true,58,true,true
org/apache/commons/collections4/bag/SynchronizedBag,true,150,false,false
org/apache/commons/collections4/bag/UnmodifiableSortedBag,true,48,true,true
org/apache/commons/collections4/TrieUtils,true,5,true,true
org/apache/commons/collections4/ComparatorUtils,true,101,false,false
org/apache/commons/collections4/BidiMap,true,9,false,NA
org/apache/commons/collections4/MultiMapUtils,true,95,true,true
org/apache/commons/collections4/Get,true,7,false,NA
org/apache/commons/collections4/comparators/NullComparator,true,37,false,false
org/apache/commons/collections4/comparators/package-info,true,0,true,NA
org/apache/commons/collections4/comparators/ComparatorChain,true,95,false,false
org/apache/commons/collections4/comparators/ReverseComparator,true,13,false,false
org/apache/commons/collections4/comparators/BooleanComparator,true,31,false,false
org/apache/commons/collections4/comparators/TransformingComparator,true,75,false,false
org/apache/commons/collections4/comparators/ComparableComparator,true,38,false,false
org/apache/commons/collections4/comparators/FixedOrderComparator,true,485,true,false
org/apache/commons/collections4/list/AbstractSerializableListDecorator,true,7,false,false
org/apache/commons/collections4/list/GrowthList,true,22,true,true
org/apache/commons/collections4/list/AbstractListDecorator,true,52,false,false
org/apache/commons/collections4/list/package-info,true,0,true,NA
org/apache/commons/collections4/list/UnmodifiableList,true,67,true,true
org/apache/commons/collections4/list/PredicatedList,true,265,false,false
org/apache/commons/collections4/list/FixedSizeList,true,316,false,false
org/apache/commons/collections4/list/TransformedList,true,322,false,false
org/apache/commons/collections4/list/CursorableLinkedList,true,228,false,false
org/apache/commons/collections4/list/NodeCachingLinkedList,true,56,true,true
org/apache/commons/collections4/list/TreeList,true,2387,true,false
org/apache/commons/collections4/list/SetUniqueList,true,740,true,false
org/apache/commons/collections4/list/AbstractLinkedList,true,645,false,false
org/apache/commons/collections4/list/LazyList,true,19,true,true
org/apache/commons/collections4/ListValuedMap,true,5,false,NA
org/apache/commons/collections4/PredicateUtils,true,148,false,false
org/apache/commons/collections4/MultiMap,true,9,false,NA
org/apache/commons/collections4/MapIterator,true,10,false,NA
org/apache/commons/collections4/IterableGet,true,4,false,NA
org/apache/commons/collections4/QueueUtils,true,19,true,true
org/apache/commons/collections4/package-info,true,0,true,NA
org/apache/commons/collections4/Bag,true,5,false,NA
org/apache/commons/collections4/FactoryUtils,true,22,true,true
org/apache/commons/collections4/MultiValuedMap,true,14,false,NA
org/apache/commons/collections4/iterators/EnumerationIterator,true,13,false,false
org/apache/commons/collections4/iterators/PushbackIterator,true,15,true,true
org/apache/commons/collections4/iterators/LoopingIterator,true,8,false,false
org/apache/commons/collections4/iterators/ReverseListIterator,true,26,true,true
org/apache/commons/collections4/iterators/AbstractUntypedIteratorDecorator,true,6,false,false
org/apache/commons/collections4/iterators/CollatingIterator,true,104,false,false
org/apache/commons/collections4/iterators/PeekingIterator,true,22,true,true
org/apache/commons/collections4/iterators/EmptyMapIterator,true,13,true,true
org/apache/commons/collections4/iterators/package-info,true,0,true,NA
org/apache/commons/collections4/iterators/FilterIterator,true,24,false,false
org/apache/commons/collections4/iterators/IteratorEnumeration,true,5,false,false
org/apache/commons/collections4/iterators/EmptyOrderedMapIterator,true,13,true,true
org/apache/commons/collections4/iterators/EmptyIterator,true,102,false,false
org/apache/commons/collections4/iterators/ArrayListIterator,true,76,false,false
org/apache/commons/collections4/iterators/UnmodifiableOrderedMapIterator,true,24,true,true
org/apache/commons/collections4/iterators/AbstractOrderedMapIteratorDecorator,true,16,true,NA
org/apache/commons/collections4/iterators/LoopingListIterator,true,30,false,false
org/apache/commons/collections4/iterators/LazyIteratorChain,true,9,false,false
org/apache/commons/collections4/iterators/EmptyListIterator,true,102,false,false
org/apache/commons/collections4/iterators/IteratorIterable,true,117,false,false
org/apache/commons/collections4/iterators/AbstractEmptyIterator,true,9,false,false
org/apache/commons/collections4/iterators/SingletonListIterator,true,16,false,false
org/apache/commons/collections4/iterators/TransformIterator,true,25,false,false
org/apache/commons/collections4/iterators/UnmodifiableIterator,true,11,true,true
org/apache/commons/collections4/iterators/ObjectArrayIterator,true,61,false,false
org/apache/commons/collections4/iterators/ObjectArrayListIterator,true,73,false,false
org/apache/commons/collections4/iterators/UniqueFilterIterator,true,3,true,true
org/apache/commons/collections4/iterators/FilterListIterator,true,50,false,false
org/apache/commons/collections4/iterators/AbstractMapIteratorDecorator,true,13,true,NA
org/apache/commons/collections4/iterators/PermutationIterator,true,260,false,false
org/apache/commons/collections4/iterators/AbstractIteratorDecorator,true,4,false,false
org/apache/commons/collections4/iterators/BoundedIterator,true,14,false,false
org/apache/commons/collections4/iterators/EmptyOrderedIterator,true,93,false,false
org/apache/commons/collections4/iterators/SingletonIterator,true,12,false,false
org/apache/commons/collections4/iterators/AbstractEmptyMapIterator,true,100,false,false
org/apache/commons/collections4/iterators/ListIteratorWrapper,true,75,false,false
org/apache/commons/collections4/iterators/AbstractListIteratorDecorator,true,10,false,false
org/apache/commons/collections4/iterators/NodeListIterator,true,32,false,false
org/apache/commons/collections4/iterators/ArrayIterator,true,66,false,false
org/apache/commons/collections4/iterators/ObjectGraphIterator,true,76,false,false
org/apache/commons/collections4/iterators/UnmodifiableMapIterator,true,22,true,true
org/apache/commons/collections4/iterators/UnmodifiableListIterator,true,20,true,true
org/apache/commons/collections4/iterators/EntrySetMapIterator,true,41,false,NA
org/apache/commons/collections4/iterators/IteratorChain,true,178,false,false
org/apache/commons/collections4/ClosureUtils,true,100,false,false
org/apache/commons/collections4/bidimap/UnmodifiableBidiMap,true,76,false,false
org/apache/commons/collections4/bidimap/AbstractSortedBidiMapDecorator,true,47,false,false
org/apache/commons/collections4/bidimap/AbstractOrderedBidiMapDecorator,true,56,false,false
org/apache/commons/collections4/bidimap/UnmodifiableOrderedBidiMap,true,89,false,false
org/apache/commons/collections4/bidimap/package-info,true,0,true,NA
org/apache/commons/collections4/bidimap/AbstractBidiMapDecorator,true,38,false,false
org/apache/commons/collections4/bidimap/AbstractDualBidiMap,true,675,false,false
org/apache/commons/collections4/bidimap/TreeBidiMap,true,4793,true,false
org/apache/commons/collections4/bidimap/DualHashBidiMap,true,17,true,true
org/apache/commons/collections4/bidimap/DualLinkedHashBidiMap,true,17,true,true
org/apache/commons/collections4/bidimap/UnmodifiableSortedBidiMap,true,156,false,false
org/apache/commons/collections4/bidimap/DualTreeBidiMap,true,356,false,false
org/apache/commons/collections4/queue/CircularFifoQueue,true,744,true,false
org/apache/commons/collections4/queue/package-info,true,0,true,NA
org/apache/commons/collections4/queue/AbstractQueueDecorator,true,29,false,false
org/apache/commons/collections4/queue/PredicatedQueue,true,22,false,false
org/apache/commons/collections4/queue/TransformedQueue,true,54,true,true
org/apache/commons/collections4/queue/UnmodifiableQueue,true,51,true,true
org/apache/commons/collections4/Unmodifiable,true,0,true,NA
org/apache/commons/collections4/BagUtils,true,63,true,true
org/apache/commons/collections4/Equator,true,5,false,NA
org/apache/commons/collections4/OrderedMap,true,14,false,NA
org/apache/commons/collections4/Predicate,true,3,false,NA
org/apache/commons/collections4/CollectionUtils,true,3119,false,false
org/apache/commons/collections4/TransformerUtils,true,163,false,false
org/apache/commons/collections4/IteratorUtils,true,1242,false,false
org/apache/commons/collections4/SetValuedMap,true,5,false,NA
org/apache/commons/collections4/OrderedBidiMap,true,4,false,NA
org/apache/commons/collections4/splitmap/package-info,true,0,true,NA
org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,true,30,false,false
org/apache/commons/collections4/splitmap/TransformedSplitMap,true,67,true,true
org/apache/commons/collections4/SplitMapUtils,true,154,false,false
org/apache/commons/collections4/ResettableListIterator,true,2,false,NA
org/apache/commons/collections4/multimap/UnmodifiableMultiValuedMap,true,56,true,true
org/apache/commons/collections4/multimap/package-info,true,0,true,NA
org/apache/commons/collections4/multimap/MultiValuedHashMap,true,348,false,false
org/apache/commons/collections4/multimap/AbstractListValuedMap,true,739,false,false
org/apache/commons/collections4/multimap/TransformedMultiValuedMap,true,98,true,true
org/apache/commons/collections4/multimap/AbstractSetValuedMap,true,302,false,false
org/apache/commons/collections4/multimap/AbstractMultiValuedMapDecorator,true,23,false,false
org/apache/commons/collections4/multimap/MultiValuedLinkedHashMap,true,348,true,false
org/apache/commons/collections4/multimap/AbstractMultiValuedMap,true,2063,false,false
org/apache/commons/collections4/collection/UnmodifiableCollection,true,36,true,true
org/apache/commons/collections4/collection/PredicatedCollection,true,77,false,false
org/apache/commons/collections4/collection/package-info,true,0,true,NA
org/apache/commons/collections4/collection/CompositeCollection,true,309,false,false
org/apache/commons/collections4/collection/IndexedCollection,true,145,true,true
org/apache/commons/collections4/collection/TransformedCollection,true,77,false,false
org/apache/commons/collections4/collection/UnmodifiableBoundedCollection,true,55,false,false
org/apache/commons/collections4/collection/SynchronizedCollection,true,375,false,false
org/apache/commons/collections4/collection/AbstractCollectionDecorator,true,43,false,false
org/apache/commons/collections4/SetUtils,true,84,true,true
org/apache/commons/collections4/ListUtils,true,529,false,false
org/apache/commons/collections4/IterableSortedMap,true,4,false,NA
org/apache/commons/collections4/map/HashedMap,true,35,false,false
org/apache/commons/collections4/map/AbstractSortedMapDecorator,true,70,false,false
org/apache/commons/collections4/map/StaticBucketMap,true,1370,true,false
org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator,true,315,false,false
org/apache/commons/collections4/map/Flat3Map,true,1370,false,false
org/apache/commons/collections4/map/TransformedMap,true,75,false,false
org/apache/commons/collections4/map/ReferenceMap,true,40,true,true
org/apache/commons/collections4/map/LazySortedMap,true,47,true,true
org/apache/commons/collections4/map/AbstractReferenceMap,true,1807,false,false
org/apache/commons/collections4/map/EntrySetToMapIteratorAdapter,true,12,false,false
org/apache/commons/collections4/map/package-info,true,0,true,NA
org/apache/commons/collections4/map/AbstractHashedMap,true,1312,false,false
org/apache/commons/collections4/map/ListOrderedMap,true,1463,false,false
org/apache/commons/collections4/map/AbstractOrderedMapDecorator,true,44,false,false
org/apache/commons/collections4/map/AbstractIterableMap,true,4,false,false
org/apache/commons/collections4/map/PredicatedMap,true,78,false,false
org/apache/commons/collections4/map/ReferenceIdentityMap,true,50,true,true
org/apache/commons/collections4/map/LazyMap,true,39,false,false
org/apache/commons/collections4/map/MultiValueMap,true,854,false,false
org/apache/commons/collections4/map/MultiKeyMap,true,658,false,false
org/apache/commons/collections4/map/CaseInsensitiveMap,true,38,false,false
org/apache/commons/collections4/map/UnmodifiableSortedMap,true,71,true,true
org/apache/commons/collections4/map/UnmodifiableEntrySet,true,294,false,false
org/apache/commons/collections4/map/TransformedSortedMap,true,44,true,true
org/apache/commons/collections4/map/LinkedMap,true,261,false,false
org/apache/commons/collections4/map/UnmodifiableMap,true,53,true,true
org/apache/commons/collections4/map/FixedSizeSortedMap,true,59,true,true
org/apache/commons/collections4/map/PassiveExpiringMap,true,144,true,true
org/apache/commons/collections4/map/LRUMap,true,332,false,false
org/apache/commons/collections4/map/AbstractLinkedMap,true,544,false,false
org/apache/commons/collections4/map/CompositeMap,true,205,false,false
org/apache/commons/collections4/map/SingletonMap,true,399,false,false
org/apache/commons/collections4/map/DefaultedMap,true,46,true,true
org/apache/commons/collections4/map/FixedSizeMap,true,66,true,true
org/apache/commons/collections4/map/UnmodifiableOrderedMap,true,75,false,false
org/apache/commons/collections4/map/PredicatedSortedMap,true,34,true,true
org/apache/commons/collections4/map/AbstractMapDecorator,true,30,false,false
org/apache/commons/collections4/IterableMap,true,4,false,NA
org/apache/commons/collections4/ArrayStack,true,23,false,false
