Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/joda/time/field/DecoratedDurationField,true,62,true,true
org/joda/time/field/PreciseDateTimeField,true,118,true,true
org/joda/time/field/MillisDurationField,true,102,true,true
org/joda/time/field/ScaledDurationField,true,259,true,true
org/joda/time/field/SkipDateTimeField,true,66,true,true
org/joda/time/field/DecoratedDateTimeField,true,59,true,true
org/joda/time/field/FieldUtils,true,134,true,true
org/joda/time/field/DividedDateTimeField,true,278,true,true
org/joda/time/field/UnsupportedDurationField,true,164,true,true
org/joda/time/field/PreciseDurationField,true,128,true,true
org/joda/time/field/DelegatedDurationField,true,167,true,NA
org/joda/time/field/AbstractPartialFieldProperty,true,198,true,true
org/joda/time/field/PreciseDurationDateTimeField,true,116,true,true
org/joda/time/field/BaseDateTimeField,true,641,true,true
org/joda/time/field/OffsetDateTimeField,true,175,true,true
org/joda/time/field/BaseDurationField,true,67,true,true
org/joda/time/field/DelegatedDateTimeField,true,379,true,true
org/joda/time/field/StrictDateTimeField,true,14,true,true
org/joda/time/field/RemainderDateTimeField,true,203,true,true
org/joda/time/field/ZeroIsMaxDateTimeField,true,166,true,true
org/joda/time/field/SkipUndoDateTimeField,true,52,true,true
org/joda/time/field/AbstractReadableInstantFieldProperty,true,246,true,true
org/joda/time/field/ImpreciseDateTimeField,true,119,true,true
org/joda/time/field/UnsupportedDateTimeField,true,362,true,true
org/joda/time/field/LenientDateTimeField,true,69,true,true
org/joda/time/chrono/IslamicChronology,true,507,true,true
org/joda/time/chrono/GJCacheKey,true,80,true,true
org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,107,true,true
org/joda/time/chrono/ZonedChronology,true,3402,false,false
org/joda/time/chrono/LenientChronology,true,198,true,true
org/joda/time/chrono/EthiopicChronology,true,106,true,true
org/joda/time/chrono/GJMonthOfYearDateTimeField,true,20,true,true
org/joda/time/chrono/BuddhistChronology,true,131,true,true
org/joda/time/chrono/GJDayOfWeekDateTimeField,true,49,true,true
org/joda/time/chrono/GJEraDateTimeField,true,151,true,true
org/joda/time/chrono/StrictChronology,true,81,true,true
org/joda/time/chrono/GJLocaleSymbols,true,309,true,true
org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,100,true,true
org/joda/time/chrono/BasicSingleEraDateTimeField,true,94,true,true
org/joda/time/chrono/BasicFixedMonthChronology,true,162,true,true
org/joda/time/chrono/BaseChronology,true,470,true,true
org/joda/time/chrono/GJChronology,true,4477,false,false
org/joda/time/chrono/BasicDayOfYearDateTimeField,true,93,true,true
org/joda/time/chrono/BasicGJChronology,true,223,true,true
org/joda/time/chrono/BasicWeekyearDateTimeField,true,239,true,true
org/joda/time/chrono/ISOChronology,true,79,true,true
org/joda/time/chrono/GJYearOfEraDateTimeField,true,96,true,true
org/joda/time/chrono/BasicYearDateTimeField,true,189,true,true
org/joda/time/chrono/CopticChronology,true,111,true,true
org/joda/time/chrono/ISOYearOfEraDateTimeField,true,95,true,true
org/joda/time/chrono/LimitChronology,true,2881,false,false
org/joda/time/chrono/AssembledChronology,true,1033,false,false
org/joda/time/chrono/BasicChronology,true,710,true,true
org/joda/time/chrono/GregorianChronology,true,105,true,true
org/joda/time/chrono/JulianChronology,true,125,true,true
org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,481,true,true
org/joda/time/base/BasePartial,true,146,true,true
org/joda/time/base/BaseSingleFieldPeriod,true,182,true,true
org/joda/time/base/AbstractDuration,true,64,true,true
org/joda/time/base/AbstractInterval,true,309,true,true
org/joda/time/base/BasePeriod,true,579,true,true
org/joda/time/base/AbstractPartial,true,291,true,true
org/joda/time/base/AbstractInstant,true,246,true,true
org/joda/time/base/AbstractPeriod,true,124,true,true
org/joda/time/base/BaseDateTime,true,192,true,true
org/joda/time/base/BaseDuration,true,93,true,true
org/joda/time/base/AbstractDateTime,true,175,true,true
org/joda/time/base/BaseInterval,true,281,true,true
org/joda/time/base/BaseLocal,true,5,true,NA
org/joda/time/Minutes,true,221,true,true
org/joda/time/Partial,true,913,true,true
org/joda/time/tz/DefaultNameProvider,true,54,false,false
org/joda/time/tz/DateTimeZoneBuilder,true,3980,false,false
org/joda/time/tz/ZoneInfoCompiler,true,829,false,false
org/joda/time/tz/FixedDateTimeZone,true,85,true,true
org/joda/time/tz/UTCProvider,true,6,true,true
org/joda/time/tz/ZoneInfoProvider,true,148,false,false
org/joda/time/tz/CachedDateTimeZone,true,256,true,true
org/joda/time/tz/Provider,true,2,true,NA
org/joda/time/tz/NameProvider,true,6,true,NA
org/joda/time/ReadWritableDateTime,true,58,true,NA
org/joda/time/Chronology,true,43,true,NA
org/joda/time/LocalTime,true,2687,false,false
org/joda/time/format/DateTimeFormatterBuilder,true,6128,false,false
org/joda/time/format/FormatUtils,true,204,true,true
org/joda/time/format/InternalParser,true,3,true,NA
org/joda/time/format/DateTimeParserBucket,true,431,true,true
org/joda/time/format/DateTimeFormat,true,502,true,true
org/joda/time/format/PeriodFormatter,true,201,true,true
org/joda/time/format/InternalPrinter,true,12,true,NA
org/joda/time/format/DateTimeFormatter,true,732,true,true
org/joda/time/format/ISOPeriodFormat,true,1,true,true
org/joda/time/format/InternalParserDateTimeParser,true,43,true,true
org/joda/time/format/ISODateTimeFormat,true,364,false,false
org/joda/time/format/PeriodFormatterBuilder,true,6175,false,false
org/joda/time/format/DateTimePrinterInternalPrinter,true,64,true,true
org/joda/time/format/DateTimePrinter,true,24,true,NA
org/joda/time/format/InternalPrinterDateTimePrinter,true,87,true,false
org/joda/time/format/DateTimeParserInternalParser,true,14,true,true
org/joda/time/format/PeriodFormat,true,33,true,true
org/joda/time/format/DateTimeParser,true,3,true,NA
org/joda/time/format/PeriodParser,true,5,true,NA
org/joda/time/format/PeriodPrinter,true,15,true,NA
org/joda/time/Instant,true,106,true,true
org/joda/time/DateTimeField,true,114,true,NA
org/joda/time/MutableInterval,true,197,true,true
org/joda/time/Duration,true,197,true,true
org/joda/time/IllegalInstantException,true,30,true,true
org/joda/time/LocalDateTime,true,4260,false,false
org/joda/time/ReadWritablePeriod,true,63,true,NA
org/joda/time/DateMidnight,true,2378,true,true
org/joda/time/DateTimeUtils,true,123,false,false
org/joda/time/ReadableDuration,true,4,true,NA
org/joda/time/Years,true,165,true,true
org/joda/time/Months,true,203,true,true
org/joda/time/MonthDay,true,563,true,true
org/joda/time/ReadWritableInterval,true,23,true,NA
org/joda/time/Period,true,3025,true,true
org/joda/time/DurationField,true,44,true,true
org/joda/time/ReadablePartial,true,9,true,NA
org/joda/time/YearMonth,true,572,true,true
org/joda/time/convert/ReadableIntervalConverter,true,38,true,true
org/joda/time/convert/PeriodConverter,true,7,true,NA
org/joda/time/convert/ConverterSet,true,218,true,false
org/joda/time/convert/ConverterManager,true,240,true,true
org/joda/time/convert/ReadableDurationConverter,true,22,true,true
org/joda/time/convert/CalendarConverter,true,66,true,true
org/joda/time/convert/StringConverter,true,163,true,true
org/joda/time/convert/InstantConverter,true,11,true,NA
org/joda/time/convert/ReadablePeriodConverter,true,21,true,true
org/joda/time/convert/DurationConverter,true,1,true,NA
org/joda/time/convert/PartialConverter,true,20,true,NA
org/joda/time/convert/LongConverter,true,20,false,false
org/joda/time/convert/AbstractConverter,true,56,true,true
org/joda/time/convert/ReadableInstantConverter,true,28,true,true
org/joda/time/convert/NullConverter,true,21,true,true
org/joda/time/convert/DateConverter,true,17,true,true
org/joda/time/convert/IntervalConverter,true,8,true,NA
org/joda/time/convert/Converter,true,0,true,NA
org/joda/time/convert/ReadablePartialConverter,true,31,true,true
org/joda/time/YearMonthDay,true,709,true,true
org/joda/time/ReadableInstant,true,6,true,NA
org/joda/time/DateTimeFieldType,true,530,true,true
org/joda/time/DateTimeZone,true,498,false,false
org/joda/time/LocalDate,true,3402,false,false
org/joda/time/ReadWritableInstant,true,23,true,NA
org/joda/time/IllegalFieldValueException,true,268,true,true
org/joda/time/Interval,true,264,true,true
org/joda/time/ReadablePeriod,true,5,true,NA
org/joda/time/DateTime,true,3784,true,true
org/joda/time/DateTimeConstants,true,60,true,NA
org/joda/time/PeriodType,true,356,false,false
org/joda/time/Seconds,true,222,true,true
org/joda/time/TimeOfDay,true,755,true,true
org/joda/time/Days,true,236,true,true
org/joda/time/DateTimeComparator,true,147,true,true
org/joda/time/DurationFieldType,true,269,true,true
org/joda/time/Weeks,true,218,true,true
org/joda/time/UTCDateTimeZone,true,21,true,true
org/joda/time/ReadableDateTime,true,3,true,NA
org/joda/time/ReadableInterval,true,13,true,NA
org/joda/time/MutableDateTime,true,2798,true,true
org/joda/time/JodaTimePermission,true,1,true,NA
org/joda/time/Hours,true,241,true,true
org/joda/time/MutablePeriod,true,354,true,true
